Designator,Mid X,Mid Y,Layer,Rotation
LED88,347.6625,-128.9050,bottom,0.00
LED89,390.5250,-128.9050,bottom,0.00
LED9,219.0750,-43.1800,bottom,0.00
LED90,409.5750,-128.9050,bottom,0.00
LED91,428.6250,-128.9050,bottom,0.00
LED92,447.6750,-138.4300,bottom,0.00
LED93,40.4813,-147.9550,bottom,0.00
LED94,64.2938,-147.9550,bottom,0.00
LED95,88.1063,-147.9550,bottom,0.00
LED96,159.5437,-147.9550,bottom,0.00
LED97,230.9812,-147.9550,bottom,0.00
LED98,254.7937,-147.9550,bottom,0.00
LED99,278.6062,-147.9550,bottom,0.00
Q1,215.8000,-54.3000,bottom,0.00
Q2,207.4000,-54.3000,bottom,0.00
Q3,199.0000,-54.3000,bottom,0.00
R1,33.0200,-42.1000,bottom,90.00
R10,242.5700,-42.1000,bottom,90.00
R100,297.3388,-146.8750,bottom,90.00
R101,323.5325,-146.8750,bottom,90.00
R102,342.5825,-146.8750,bottom,90.00
R103,361.6325,-146.8750,bottom,90.00
R104,394.9700,-146.8750,bottom,90.00
R105,423.5450,-146.8750,bottom,90.00
R107,289.2937,-111.9750,bottom,90.00
R108,47.0063,-133.5250,bottom,0.00
R11,261.6200,-42.1000,bottom,90.00
R12,280.6700,-42.1000,bottom,90.00
R121,220.0000,-55.2500,bottom,180.00
R122,220.0000,-53.3500,bottom,0.00
R123,211.6000,-55.2500,bottom,180.00
R124,211.6000,-53.3500,bottom,0.00
R125,203.2000,-55.2500,bottom,180.00
R126,203.2000,-53.3500,bottom,0.00
R127,369.5000,-58.3000,bottom,0.00
R129,451.6750,-38.1000,bottom,90.00
R13,299.7200,-42.1000,bottom,90.00
R130,432.6250,-38.1000,bottom,90.00
R14,323.5325,-42.1000,bottom,90.00
R15,342.5825,-42.1000,bottom,90.00
R16,361.6325,-42.1000,bottom,90.00
R17,33.0200,-70.6750,bottom,90.00
R18,52.0700,-70.6750,bottom,90.00
R19,71.1200,-70.6750,bottom,90.00
R2,71.1200,-42.1000,bottom,90.00
R20,90.1700,-70.6750,bottom,90.00
R201,140.9000,-37.6000,bottom,90.00
R202,151.6000,-39.3000,bottom,90.00
R203,140.9000,-30.6000,bottom,90.00
R204,144.3000,-41.0000,bottom,270.00
R205,142.6000,-40.0000,bottom,270.00
